ID,con_count,condition_tool,condition_unce,trial_number,trial.started,trial.started_EEG,trial.stopped,trial.stopped_EEG,feedback.end,feedback.end_EEG,data_file_name,name_wins_1,name_lose_1,name_wins_2,name_lose_2,name_wins_3,name_lose_3,name_wins_4,name_lose_4,score_deck1,score_deck2,score_deck3,score_deck4,score_ref1,score_ref2,clicked_image,wins,lose,wins_total,lose_total,points_total_condition,points_total,score,wins_deck1,lose_deck1,wins_deck2,lose_deck2,wins_deck3,lose_deck3,wins_deck4,lose_deck4,counter_deck1,counter_deck2,counter_deck3,counter_deck4,wins_mean_deck1,lose_mean_deck1,total_mean_deck1,wins_mean_deck2,lose_mean_deck2,total_mean_deck2,wins_mean_deck3,lose_mean_deck3,total_mean_deck3,wins_mean_deck4,lose_mean_deck4,total_mean_deck4,counter_AIT,choose_deck1,choose_deck2,choose_deck3,choose_deck4,date,response_time,sex,age
IG41,1.0,NAIT,LOWU,1.0,430.2844783999026,411.57124359995055,435.0247495998629,416.3115147999108,437.0379087002948,418.3246739003428,deck_data_4.xlsx,deck_B_wins,deck_B_lose,deck_A_wins,deck_A_lose,deck_D_wins,deck_D_lose,deck_C_wins,deck_C_lose,1.0,0.6923076923076923,0.1538461538461538,0.0,0.6923076923076923,1.0,2.0,80.0,186.0,80.0,0.0,80.0,600.0,0.6923076923076923,0.0,0.0,80.0,186.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,80.0,186.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A,B,C,D,2024-05-09_08h22.41.518,4.740271199960318,women,21
IG41,1.0,NAIT,LOWU,2.0,437.0559517000802,418.34271690012815,441.3685678001493,422.6553330001973,443.3817219003104,424.66848710035833,deck_data_4.xlsx,deck_B_wins,deck_B_lose,deck_A_wins,deck_A_lose,deck_D_wins,deck_D_lose,deck_C_wins,deck_C_lose,1.0,0.6923076923076923,0.1538461538461538,0.0,0.6923076923076923,1.0,1.0,119.0,204.0,199.0,0.0,199.0,719.0,1.0,119.0,204.0,80.0,186.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,119.0,204.0,119.0,80.0,186.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A,B,C,D,2024-05-09_08h22.41.518,4.312616100069135,women,21
IG41,1.0,NAIT,LOWU,3.0,443.39708680007607,424.683852000124,446.9630378000438,428.2498030000918,448.976174400188,430.2629396002359,deck_data_4.xlsx,deck_B_wins,deck_B_lose,deck_A_wins,deck_A_lose,deck_D_wins,deck_D_lose,deck_C_wins,deck_C_lose,1.0,0.6923076923076923,0.1538461538461538,0.0,0.6923076923076923,1.0,1.0,113.0,0.0,312.0,0.0,312.0,832.0,1.0,232.0,204.0,80.0,186.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,116.0,102.0,116.0,80.0,186.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A,B,C,D,2024-05-09_08h22.41.518,3.565950999967754,women,21
IG41,1.0,NAIT,LOWU,4.0,448.99184540007263,430.2786106001206,451.1087511000224,432.3955163000703,453.1220181998797,434.4087833999277,deck_data_4.xlsx,deck_B_wins,deck_B_lose,deck_A_wins,deck_A_lose,deck_D_wins,deck_D_lose,deck_C_wins,deck_C_lose,1.0,0.6923076923076923,0.1538461538461538,0.0,0.6923076923076923,1.0,3.0,42.0,65.0,354.0,0.0,354.0,874.0,0.1538461538461538,232.0,204.0,80.0,186.0,42.0,65.0,0.0,0.0,2.0,1.0,1.0,0.0,116.0,102.0,116.0,80.0,186.0,80.0,42.0,65.0,42.0,0.0,0.0,0.0,0.0,A,B,C,D,2024-05-09_08h22.41.518,2.1169056999497684,women,21
IG41,1.0,NAIT,LOWU,5.0,453.1384177003056,434.4251829003536,457.0357987000607,438.3225639001087,459.049506300129,440.33627150017696,deck_data_4.xlsx,deck_B_wins,deck_B_lose,deck_A_wins,deck_A_lose,deck_D_wins,deck_D_lose,deck_C_wins,deck_C_lose,1.0,0.6923076923076923,0.1538461538461538,0.0,0.6923076923076923,1.0,1.0,129.0,0.0,483.0,0.0,483.0,1003.0,1.0,361.0,204.0,80.0,186.0,42.0,65.0,0.0,0.0,3.0,1.0,1.0,0.0,120.33333333333331,68.0,120.33333333333331,80.0,186.0,80.0,42.0,65.0,42.0,0.0,0.0,0.0,1.0,A,B,C,D,2024-05-09_08h22.41.518,3.8973809997551134,women,21
IG41,1.0,NAIT,LOWU,6.0,459.0655304999091,440.352295699957,460.6322480002418,441.9190132002898,462.6459154998884,443.9326806999363,deck_data_4.xlsx,deck_B_wins,deck_B_lose,deck_A_wins,deck_A_lose,deck_D_wins,deck_D_lose,deck_C_wins,deck_C_lose,1.0,0.6923076923076923,0.1538461538461538,0.0,0.6923076923076923,1.0,4.0,34.0,0.0,517.0,0.0,517.0,1037.0,0.0,361.0,204.0,80.0,186.0,42.0,65.0,34.0,0.0,3.0,1.0,1.0,1.0,120.33333333333331,68.0,120.33333333333331,80.0,186.0,80.0,42.0,65.0,42.0,34.0,0.0,34.0,1.0,,B,C,D,2024-05-09_08h22.41.518,1.566717500332743,women,21
IG41,1.0,NAIT,LOWU,7.0,462.6629363000393,443.94970150008726,464.51210880000144,445.7988740000494,466.5253515001386,447.8121167001865,deck_data_4.xlsx,deck_B_wins,deck_B_lose,deck_A_wins,deck_A_lose,deck_D_wins,deck_D_lose,deck_C_wins,deck_C_lose,1.0,0.6923076923076923,0.1538461538461538,0.0,0.6923076923076923,1.0,2.0,94.0,183.0,611.0,0.0,611.0,1131.0,0.6923076923076923,361.0,204.0,174.0,369.0,42.0,65.0,34.0,0.0,3.0,2.0,1.0,1.0,120.33333333333331,68.0,120.33333333333331,87.0,184.5,87.0,42.0,65.0,42.0,34.0,0.0,34.0,1.0,,B,C,D,2024-05-09_08h22.41.518,1.849172499962151,women,21
IG41,1.0,NAIT,LOWU,8.0,466.5393340000883,447.8260992001362,468.41055230004713,449.6973175000951,470.4215139001608,451.7082791002088,deck_data_4.xlsx,deck_B_wins,deck_B_lose,deck_A_wins,deck_A_lose,deck_D_wins,deck_D_lose,deck_C_wins,deck_C_lose,1.0,0.6923076923076923,0.1538461538461538,0.0,0.6923076923076923,1.0,1.0,104.0,101.0,715.0,0.0,715.0,1235.0,1.0,465.0,305.0,174.0,369.0,42.0,65.0,34.0,0.0,4.0,2.0,1.0,1.0,116.25,76.25,116.25,87.0,184.5,87.0,42.0,65.0,42.0,34.0,0.0,34.0,1.0,,B,C,D,2024-05-09_08h22.41.518,1.871218299958855,women,21
IG41,1.0,NAIT,LOWU,9.0,470.43714930024,451.723914500288,471.9710872001015,453.25785240014943,473.9872324001044,455.2739976001524,deck_data_4.xlsx,deck_B_wins,deck_B_lose,deck_A_wins,deck_A_lose,deck_D_wins,deck_D_lose,deck_C_wins,deck_C_lose,1.0,0.6923076923076923,0.1538461538461538,0.0,0.6923076923076923,1.0,4.0,50.0,33.0,765.0,0.0,765.0,1285.0,0.0,465.0,305.0,174.0,369.0,42.0,65.0,84.0,33.0,4.0,2.0,1.0,2.0,116.25,76.25,116.25,87.0,184.5,87.0,42.0,65.0,42.0,42.0,16.5,42.0,1.0,,B,C,D,2024-05-09_08h22.41.518,1.5339378998615416,women,21
IG41,1.0,NAIT,LOWU,10.0,474.003025200218,455.28979040026593,476.9838120001368,458.2705772001848,478.9964366001077,460.28320180015567,deck_data_4.xlsx,deck_B_wins,deck_B_lose,deck_A_wins,deck_A_lose,deck_D_wins,deck_D_lose,deck_C_wins,deck_C_lose,1.0,0.6923076923076923,0.1538461538461538,0.0,0.6923076923076923,1.0,1.0,99.0,162.0,864.0,0.0,864.0,1384.0,1.0,564.0,467.0,174.0,369.0,42.0,65.0,84.0,33.0,5.0,2.0,1.0,2.0,112.8,93.4,112.8,87.0,184.5,87.0,42.0,65.0,42.0,42.0,16.5,42.0,1.0,,B,C,D,2024-05-09_08h22.41.518,2.980786799918804,women,21
